service_id,date,exception_type
000001,20211212,1
000001,20211219,1
000001,20211226,1
000001,20220102,1
000001,20220109,1
000001,20220116,1
000001,20220123,1
000001,20220130,1
000001,20220206,1
000001,20220213,1
000001,20220220,1
000001,20220227,1
000001,20220306,1
000002,20211213,1
000002,20211214,1
000002,20211215,1
000002,20211216,1
000002,20211217,1
000002,20211220,1
000002,20211221,1
000002,20211222,1
000002,20211223,1
000002,20211224,1
000002,20211227,1
000002,20211228,1
000002,20211229,1
000002,20211230,1
000002,20211231,1
000002,20220103,1
000002,20220104,1
000002,20220105,1
000002,20220106,1
000002,20220107,1
000002,20220110,1
000002,20220111,1
000002,20220112,1
000002,20220113,1
000002,20220114,1
000002,20220117,1
000002,20220118,1
000002,20220119,1
000002,20220120,1
000002,20220121,1
000002,20220124,1
000002,20220125,1
000002,20220126,1
000002,20220127,1
000002,20220128,1
000002,20220131,1
000002,20220201,1
000002,20220202,1
000002,20220203,1
000002,20220204,1
000002,20220207,1
000002,20220208,1
000002,20220209,1
000002,20220210,1
000002,20220211,1
000002,20220214,1
000002,20220215,1
000002,20220216,1
000002,20220217,1
000002,20220218,1
000002,20220221,1
000002,20220222,1
000002,20220223,1
000002,20220224,1
000002,20220225,1
000002,20220228,1
000002,20220301,1
000002,20220302,1
000002,20220303,1
000002,20220304,1
000002,20220307,1
000002,20220308,1
000002,20220309,1
000002,20220310,1
000002,20220311,1
000003,20211211,1
000004,20211212,1
000004,20211218,1
000004,20211219,1
000004,20211225,1
000004,20211226,1
000004,20220101,1
000004,20220102,1
000004,20220108,1
000004,20220109,1
000004,20220115,1
000004,20220116,1
000004,20220122,1
000004,20220123,1
000004,20220129,1
000004,20220130,1
000004,20220205,1
000004,20220206,1
000004,20220212,1
000004,20220213,1
000004,20220219,1
000004,20220220,1
000004,20220226,1
000004,20220227,1
000004,20220305,1
000004,20220306,1
000004,20220312,1
000005,20211218,1
000005,20211225,1
000005,20220101,1
000005,20220108,1
000005,20220115,1
000005,20220122,1
000005,20220129,1
000005,20220205,1
000005,20220212,1
000005,20220219,1
000005,20220226,1
000005,20220305,1
000005,20220312,1
000006,20211213,1
000006,20211220,1
000006,20211227,1
000006,20220103,1
000006,20220110,1
000006,20220117,1
000006,20220124,1
000006,20220131,1
000006,20220207,1
000006,20220214,1
000006,20220221,1
000006,20220228,1
000006,20220307,1
000007,20211212,1
000007,20211213,1
000007,20211214,1
000007,20211215,1
000007,20211216,1
000007,20211217,1
000007,20211218,1
000007,20211219,1
000007,20211220,1
000007,20211221,1
000007,20211222,1
000007,20211223,1
000007,20211224,1
000007,20211225,1
000007,20211226,1
000007,20211227,1
000007,20211228,1
000007,20211229,1
000007,20211230,1
000007,20211231,1
000007,20220101,1
000007,20220102,1
000007,20220103,1
000007,20220104,1
000007,20220105,1
000007,20220106,1
000007,20220107,1
000007,20220108,1
000007,20220109,1
000007,20220110,1
000007,20220111,1
000007,20220112,1
000007,20220113,1
000007,20220114,1
000007,20220115,1
000007,20220116,1
000007,20220117,1
000007,20220118,1
000007,20220119,1
000007,20220120,1
000007,20220121,1
000007,20220122,1
000007,20220123,1
000007,20220124,1
000007,20220125,1
000007,20220126,1
000007,20220127,1
000007,20220128,1
000007,20220129,1
000007,20220130,1
000007,20220131,1
000007,20220201,1
000007,20220202,1
000007,20220203,1
000007,20220204,1
000007,20220205,1
000007,20220206,1
000007,20220207,1
000007,20220208,1
000007,20220209,1
000007,20220210,1
000007,20220211,1
000007,20220212,1
000007,20220213,1
000007,20220214,1
000007,20220215,1
000007,20220216,1
000007,20220217,1
000007,20220218,1
000007,20220219,1
000007,20220220,1
000007,20220221,1
000007,20220222,1
000007,20220223,1
000007,20220224,1
000007,20220225,1
000007,20220226,1
000007,20220227,1
000007,20220228,1
000007,20220301,1
000007,20220302,1
000007,20220303,1
000007,20220304,1
000007,20220305,1
000007,20220306,1
000007,20220307,1
000007,20220308,1
000007,20220309,1
000007,20220310,1
000007,20220311,1
000007,20220312,1
000008,20211213,1
000008,20211214,1
000008,20211215,1
000008,20211216,1
000008,20211220,1
000008,20211221,1
000008,20211222,1
000008,20211223,1
000008,20211227,1
000008,20211228,1
000008,20211229,1
000008,20211230,1
000008,20220103,1
000008,20220104,1
000008,20220105,1
000008,20220106,1
000008,20220110,1
000008,20220111,1
000008,20220112,1
000008,20220113,1
000008,20220117,1
000008,20220118,1
000008,20220119,1
000008,20220120,1
000008,20220124,1
000008,20220125,1
000008,20220126,1
000008,20220127,1
000008,20220131,1
000008,20220201,1
000008,20220202,1
000008,20220203,1
000008,20220207,1
000008,20220208,1
000008,20220209,1
000008,20220210,1
000008,20220214,1
000008,20220215,1
000008,20220216,1
000008,20220217,1
000008,20220221,1
000008,20220222,1
000008,20220223,1
000008,20220224,1
000008,20220228,1
000008,20220301,1
000008,20220302,1
000008,20220303,1
000008,20220307,1
000008,20220308,1
000008,20220309,1
000008,20220310,1
000009,20211217,1
000009,20211224,1
000009,20211231,1
000009,20220107,1
000009,20220114,1
000009,20220121,1
000009,20220128,1
000009,20220204,1
000009,20220211,1
000009,20220218,1
000009,20220225,1
000009,20220304,1
000009,20220311,1
000010,20220116,1
000010,20220123,1
000010,20220130,1
000010,20220206,1
000010,20220213,1
000010,20220220,1
000010,20220227,1
000010,20220306,1
000011,20211212,1
000011,20211219,1
000011,20211226,1
000011,20220102,1
000011,20220109,1
000012,20211213,1
000012,20211214,1
000012,20211215,1
000012,20211216,1
000012,20211217,1
000012,20211218,1
000012,20211220,1
000012,20211221,1
000012,20211222,1
000012,20211223,1
000012,20211224,1
000012,20211225,1
000012,20211227,1
000012,20211228,1
000012,20211229,1
000012,20211230,1
000012,20211231,1
000012,20220101,1
000012,20220103,1
000012,20220104,1
000012,20220105,1
000012,20220106,1
000012,20220107,1
000012,20220108,1
000012,20220110,1
000012,20220111,1
000012,20220112,1
000012,20220113,1
000012,20220114,1
000012,20220115,1
000012,20220117,1
000012,20220118,1
000012,20220119,1
000012,20220120,1
000012,20220121,1
000012,20220122,1
000012,20220124,1
000012,20220125,1
000012,20220126,1
000012,20220127,1
000012,20220128,1
000012,20220129,1
000012,20220131,1
000012,20220201,1
000012,20220202,1
000012,20220203,1
000012,20220204,1
000012,20220205,1
000012,20220207,1
000012,20220208,1
000012,20220209,1
000012,20220210,1
000012,20220211,1
000012,20220212,1
000012,20220214,1
000012,20220215,1
000012,20220216,1
000012,20220217,1
000012,20220218,1
000012,20220219,1
000012,20220221,1
000012,20220222,1
000012,20220223,1
000012,20220224,1
000012,20220225,1
000012,20220226,1
000012,20220228,1
000012,20220301,1
000012,20220302,1
000012,20220303,1
000012,20220304,1
000012,20220305,1
000012,20220307,1
000012,20220308,1
000012,20220309,1
000012,20220310,1
000012,20220311,1
000012,20220312,1
000013,20211213,1
000013,20211214,1
000013,20211215,1
000013,20211216,1
000013,20211218,1
000013,20211220,1
000013,20211221,1
000013,20211222,1
000013,20211223,1
000013,20211225,1
000013,20211227,1
000013,20211228,1
000013,20211229,1
000013,20211230,1
000013,20220101,1
000013,20220103,1
000013,20220104,1
000013,20220105,1
000013,20220106,1
000013,20220108,1
000013,20220110,1
000013,20220111,1
000013,20220112,1
000013,20220113,1
000013,20220115,1
000013,20220117,1
000013,20220118,1
000013,20220119,1
000013,20220120,1
000013,20220122,1
000013,20220124,1
000013,20220125,1
000013,20220126,1
000013,20220127,1
000013,20220129,1
000013,20220131,1
000013,20220201,1
000013,20220202,1
000013,20220203,1
000013,20220205,1
000013,20220207,1
000013,20220208,1
000013,20220209,1
000013,20220210,1
000013,20220212,1
